species
Melanogaster hirtella
Melanogaster nuda
Melanogaster parumplicata
Melanostoma
Melanostoma mellinum
Melanostoma alpinum
Melanostoma dubium
Melanostoma scalare
Meligramma
Meligramma cingulatum
Meligramma guttatum
Meligramma trianguliferum
Meliscaeva
Meliscaeva auricollis
Meliscaeva cinctella
Merodon
Merodon aberrans
Merodon aeneus
Merodon armipes
Merodon avidus
Merodon cinereus
Merodon constans
Merodon equestris
Merodon nigritarsis
Merodon ruficornis
Merodon rufus
Mesembrius
Mesembrius peregrinus
Microdon
Microdon analis
Microdon devius
Microdon major
Microdon miki
Microdon mutabilis
Microdon myrmicae
Myathropa
Myathropa florea
Myolepta
Myolepta dubia
Myolepta luteola
Myolepta obscura
Myolepta potens
Myolepta vara
Neoascia
Neoascia annexa
Neoascia geniculata
Neoascia interrupta
Neoascia meticulosa
Neoascia obliqua
Neoascia podagrica
Neoascia tenur
Neoascia unifasciata
Orthonevra
Orthonevra brevicornis
Orthonevra elegans
Orthonevra erythrogona
Orthonevra frontalis
Orthonevra geniculata
Orthonevra incisa
Orthonevra intermedia
Orthonevra montana
Orthonevra nobilis
Orthonevra stackelbergi
Orthonevra tristis
Paragus
Paragus albifrons
Paragus bicolor
Paragus constrictus
Paragus finitimus
Paragus flammeus
Paragus haemorrhous
Paragus majoranae
Paragus gorgus
Paragus pecchiolii
Paragus majoranae
Paragus punctulatus
Paragus quadrifasciatus
Paragus tibialis
Parasyrphus
Parasyrphus annulatus
Parasyrphus lineola
Parasyrphus macularis
Parasyrphus malinellus
Parasyrphus nigritarsis
Parasyrphus punctulatus
Parasyrphus vittiger
Parhelophilus
Parhelophilus consimilis
Parhelophilus frutetorum
Parhelophilus versicolor
Pelecocera
Pelecocera tricincta
Pipiza
Pipiza accola
Pipiza austriaca
Pipiza bimaculata
Pipiza fenestrata
Pipiza festiva
Pipiza lugubris
Pipiza luteitarsis
Pipiza noctiluca
Pipiza notata
Pipiza quadrimaculata
Pipiza signata
Pipizella
Pipizella annulata
Pipizella divicoi
Pipizella maculipennis
Pipizella mongolorum
Pipizella nigriana
Pipizella pennina
Pipizella viduata
Pipizella virens
Pipizella zeneggenensis
Platycheirus
Platycheirus abruzzensis
Platycheirus albimanus
Platycheirus ambiguus
Platycheirus amplus
Platycheirus angustatus
Platycheirus angustipes
Platycheirus aurolateralis
Platycheirus clypeatus
Platycheirus complicatus
Platycheirus discimanus
Platycheirus europaeus
Platycheirus fasciculatus
Platycheirus fulviventris
Platycheirus immaculatus
Platycheirus immarginatus
Platycheirus jaerensis
Platycheirus laskai
Platycheirus manicatus
Platycheirus melanopsis
Platycheirus nielseni
Platycheirus occultus
Platycheirus parmatus
Platycheirus peltatus
Platycheirus perpallidus
Platycheirus podagratus
Platycheirus scambus
Platycheirus scutatus
Platycheirus splendidus
Platycheirus sticticus
Platycheirus tarsalis
Platycheirus tatricus
Platycheirus transfugus
Pocota
Pocota personata
Portevinia
Portevinia maculata
Psarus
Psarus abdominalis
Psilota
Psilota anthracina
Psilota atra
Psilota innupta
Pyrophaena
Pyrophaena granditarsa
Pyrophaena rosarum
Rhingia
Rhingia borealis
Rhingia campestris
Rhingia rostrata
Riponnensia
Riponnensia splendens
Scaeva
Scaeva dignota
Scaeva pyrastri
Scaeva selenitica
Sericomyia
Sericomyia lappona
Sericomyia silentis
Spazigaster
Spazigaster ambulans
Sphaerophoria
Sphaerophoria bankowskae
Sphaerophoria batava
Sphaerophoria chongjini
Sphaerophoria estebani
Sphaerophoria fatarum
Sphaerophoria infuscata
Sphaerophoria interrupta
Sphaerophoria loewi
Sphaerophoria philanthus
Sphaerophoria potentillae
Sphaerophoria rueppellii
Sphaerophoria scripta
Sphaerophoria shirchan
Sphaerophoria taeniata
Sphaerophoria virgata
Sphegina
Sphegina clavata
Sphegina clunipes
Sphegina cornifera
Sphegina elegans
Sphegina latifrons
Sphegina montana
Sphegina platychira
Sphegina sibirica
Sphegina spheginea
Sphegina verecunda
Sphiximorpha
Sphiximorpha binominata
Sphiximorpha subsessilis
Spilomyia
Spilomyia digitata
Spilomyia diophthalma
Spilomyia manicata
Syritta
Syritta pipiens
Syrphocheilosia
Syrphocheilosia claviventris
Syrphus
Syrphus auberti
Syrphus nitidifrons
Syrphus ribesii
Syrphus torvus
Syrphus vitripennis
Temnostoma
Temnostoma apiforme
Temnostoma bombylans
Temnostoma meridionale
Temnostoma vespiforme
Trichopsomyia
Trichopsomyia flavitarsis
Trichopsomyia joratensis
Trichopsomyia lucida
Triglyphus
Triglyphus primus
Tropidia
Tropidia fasciata
Tropidia scita
Volucella
Volucella bombylans
Volucella inanis
Volucella inflata
Volucella pellucens
Volucella zonaria
Xanthandrus
Xanthandrus comtus
Xanthogramma
Xanthogramma citrofasciatum
Xanthogramma festivum
Xanthogramma dives
Xanthogramma laetum
Xanthogramma pedissequum
Xanthogramma stackelbergi
Xylota
Xylota abiens
Xylota caeruleiventris
Xylota florum
Xylota ignava
Xylota jakutorum
Xylota meigeniana
Xylota segnis
Xylota sylvarum
Xylota tarda
Xylota xanthocnema
